"ID","ANSWER","IS_CORRECT","ID_OF_PARENT_ANSWER","QUESTIONID","POSITION","GRAPHIC"
"14097585479291","Daten auf dem Client zu speichern","FALSE",,"1605045679000","1",
"14097585479300","Nutzung zentraler Ressourcen","TRUE",,"1605045679000","0",
"14101064178690","Rechter Mausklick auf die Grafik, Kontextmenü: Kopieren","FALSE",,"1605982501000","0",
"14101064178701","Rechter Mausklick auf die Grafik, Kontextmenü: Ausschneiden","TRUE",,"1605982501000","1",
"14115030924630","Internettelefonie","TRUE",,"1606935628000","0",
"14115030924631","FTP","TRUE",,"1606935628000","1",
"14115030924642","E-Mail","TRUE",,"1606935628000","2",
"14115030924653","www","TRUE",,"1606935628000","3",
"14115030924664","Verteilerliste","FALSE",,"1606935628000","4",
"14143410879080","ein Rechnernetz, das über einen großen geografischen Bereich vernetzt ist","TRUE",,"1605980858000","0",
"14143410879231","ein Rechnernetz innerhalb eines Gebäudes","FALSE",,"1605980858000","1",
"14143410879402","ein drahtloses lokales Netzwerk","FALSE",,"1605980858000","2",
"14163148056731","Nein","FALSE",,"1542916039000","1",
"14163148057670","Ja","TRUE",,"1542916039000","0",
"14163148060141","Nein","FALSE",,"1542916048000","1",
"14163148060500","Ja","TRUE",,"1542916048000","0",
"14163148065490","jpg","FALSE",,"1416314806000","0",
"14163148066053","eps","TRUE",,"1416314806000","3",
"14163148066441","gif","FALSE",,"1416314806000","1",
"14163148066772","svg","TRUE",,"1416314806000","2",
"14163148067810","viel Speicherplatz","FALSE",,"1542953207000","0",
"14163148068321","wenig Speicherplatz","TRUE",,"1542953207000","1",
"14163148070440","Bei der  Kompression gehen Bildinformationen verloren.","FALSE",,"1542916053000","0",
"14163148070671","Bei der Kompression gehen keine Bildinformationen verloren.","TRUE",,"1542916053000","1",
"14163148074593","tif","TRUE",,"1542916057000","3",
"14163148074792","png","TRUE",,"1542916057000","2",
"14163148074950","jpg","FALSE",,"1542916057000","0",
"14163148075271","jpg2000","TRUE",,"1542916057000","1",
"14163148078910","Pixelgrafik","FALSE",,"1542916058000","0",
"14163148080491","Vektorgrafik","TRUE",,"1542916058000","1",
"14163148084930","Pixelgrafik","TRUE",,"1542916382000","0",
"14163148086131","Vektorgrafik","FALSE",,"1542916382000","1",
"14163148091070","das linke Bild","TRUE",,"1456345660000","0",
"14163148091401","das rechte Bild","FALSE",,"1456345660000","1",
"14163148093500","linkes Bild","FALSE",,"1542916036000","0",
"14163148095301","rechtes Bild","TRUE",,"1542916036000","1",
"14163148097583","70 Jahre  nach dem Tod der/des Urheber*in","TRUE",,"1542916378000","3",
"14163148098130","30 Jahre nach der Erstellung des Bildes","FALSE",,"1542916378000","0",
"14163148099822","30 Jahre nach dem Tod der/des Urheber*in","FALSE",,"1542916378000","2",
"14163148100301","70 Jahre nach der Erstellung des Bildes","FALSE",,"1542916378000","1",
"14163148117490","Es sind z. B. Bilder, deren Schutz abgelaufen ist.","TRUE",,"1440316715000","0",
"14163148119371","Sie können 100 % frei verwendet werden, man kann sich darauf verlassen.","FALSE",,"1440316715000","1",
"14163148119882","Sie werden auch von Privatpersonen oder Organisationen zur Verfügung gestellt.","TRUE",,"1440316715000","2",
"14163148121590","richtig","FALSE",,"1440316812000","0",
"14163148122361","falsch","TRUE",,"1440316812000","1",
"14163148127830","prinzipiell richtig","TRUE",,"1440316778000","0",
"14163148129341","falsch","FALSE",,"1440316778000","1",
"14163148134760","Ja","TRUE",,"1440316790000","0",
"14163148136121","Nein","FALSE",,"1440316790000","1",
"14163148138510","Das Foto hätte ohne Erlaubnis nicht veröffentlich werden dürfen!","TRUE",,"1416314813000","0",
"14163148138831","Das Foto geht Ordnung, weil die Person auf dem Foto nur ""Beiwerk"" ist.","FALSE",,"1416314813000","1",
"14163148142832","Beleidigende Texte als Bildbeschriftung","TRUE",,"1542916070000","2",
"14163148143031","Herabwürdigende Darstellung der Person","TRUE",,"1542916070000","1",
"14163148143340","Eindringen in die Privatsphäre","TRUE",,"1542916070000","0",
"14163148143783","Person kann auf Fotos identifizierbar sein","FALSE",,"1542916070000","3",
"14163148150200","Namensnennung","FALSE",,"1456345657000","0",
"14163148151282","Ob das Werk bearbeitet werden darf","FALSE",,"1456345657000","2",
"14163148152081","Kommerzielle Verwendung","FALSE",,"1456345657000","1",
"14163148153483","Wie oft das Werk heruntergeladen werden kann","TRUE",,"1456345657000","3",
"14163148158820","ppi","TRUE",,"1542916079000","0",
"14163148159222","dpi","TRUE",,"1542916079000","2",
"14163148159381","px","FALSE",,"1542916079000","1",
"14163148159623","Megapixel","FALSE",,"1542916079000","3",
"14163148166172","Blau","TRUE",,"1416314816000","2",
